dh_demand,el_demand,price_el
3.390563954,3.99543379,59.58
3.212747958,3.99543379,56.01
2.628081522,3.99543379,51.87
2.12388207,3.99543379,50.05
2.300785622,3.99543379,47.1
2.388357596,3.99543379,46.39
2.430335237,3.99543379,46.98
2.624938416,3.99543379,50.89
2.876027996,3.99543379,54.12
4.259656463,3.99543379,62.8
4.256231843,3.99543379,68.12
4.194401188,3.99543379,65.01
4.12317876,3.99543379,47.53
3.949602527,3.99543379,43.26
3.779678522,3.99543379,39.99
3.745882979,3.99543379,35.97
3.580227954,3.99543379,29.83
3.541026043,3.99543379,29.02
3.484970894,3.99543379,28.62
3.489776012,3.99543379,28.15
3.563956926,3.99543379,29.16
3.694057563,3.99543379,32.24
3.703549474,3.99543379,38.81
3.725661766,3.99543379,47.35
3.645078595,3.99543379,58.89
3.414523788,3.99543379,55.35
2.94738291,3.99543379,50.99
2.453920403,3.99543379,48.91
2.408843477,3.99543379,45.82
2.495770276,3.99543379,44.37
2.564800301,3.99543379,44.79
2.780034857,3.99543379,48.11
2.959804438,3.99543379,51.7
4.286720787,3.99543379,60.32
4.761809288,3.99543379,65.09
4.773711174,3.99543379,61.92
4.693314508,3.99543379,45.26
4.468068407,3.99543379,41.16
4.220799106,3.99543379,38.51
4.055727352,3.99543379,35.99
3.912080146,3.99543379,32.76
3.829639259,3.99543379,31.04
3.768828431,3.99543379,29.33
3.764753563,3.99543379,28.82
3.820087006,3.99543379,29.18
3.932498059,3.99543379,29.28
3.950579814,3.99543379,28.46
3.956906625,3.99543379,32.12
3.827538393,3.99543379,34.23
3.539923296,3.99543379,37.17
3.045518872,3.99543379,39.83
2.541629161,3.99543379,40
3.059895988,3.99543379,39.51
2.955407321,3.99543379,37.21
2.960447338,3.99543379,35.07
3.202709,3.99543379,34.98
3.285502215,3.99543379,36.19
4.507358804,3.99543379,41.93
5.402248186,3.99543379,44.62
5.055452263,3.99543379,43.11
4.74225566,3.99543379,38.46
4.389886364,3.99543379,34.88
4.106160858,3.99543379,33.3
4.124516465,3.99543379,30.15
3.953807985,3.99543379,24.35
3.91817268,3.99543379,22.92
3.975571183,3.99543379,22.07
4.133223284,3.99543379,24.13
4.188753312,3.99543379,23.66
4.277660361,3.99543379,22.49
4.160734389,3.99543379,20.9
4.250868687,3.99543379,24.66
4.143706189,3.99543379,25.73
3.954062655,3.99543379,28.1
3.920050214,3.99543379,27.72
3.330383006,3.99543379,29
3.147384317,3.99543379,27.91
3.040632698,3.99543379,26.07
3.046164445,3.99543379,26.72
3.295854036,3.99543379,32.02
3.381219744,3.99543379,31.2
4.635063784,3.99543379,37.55
5.55460187,3.99543379,42.75
5.200349718,3.99543379,41.59
4.879310826,3.99543379,38.48
4.516784265,3.99543379,34.75
4.225312779,3.99543379,32.21
4.24356625,3.99543379,30.7
4.067796642,3.99543379,25.31
4.030770193,3.99543379,24.6
4.089406615,3.99543379,24.38
4.251225947,3.99543379,24.07
4.307591864,3.99543379,25.61
4.398795952,3.99543379,29.86
4.277887144,3.99543379,37.95
4.370092366,3.99543379,46.78
4.2597912,3.99543379,58.42
4.064672523,3.99543379,55.1
4.029702655,3.99543379,50.77
3.42489303,3.99543379,49.13
2.959713165,3.99543379,46.34
3.064501327,3.99543379,45.61
3.149820194,3.99543379,46.3
3.415144431,3.99543379,50.34
3.622684042,3.99543379,53.38
5.269369221,3.99543379,61.88
5.860748984,3.99543379,67.23
5.870003184,3.99543379,64.71
5.809967535,3.99543379,47.14
5.489758094,3.99543379,42.83
5.18857124,3.99543379,39.52
5.002316168,3.99543379,35.43
4.811005193,3.99543379,29.7
4.699676566,3.99543379,28.97
4.644760543,3.99543379,28.66
4.656475693,3.99543379,28.13
4.711046191,3.99543379,29.2
4.832397165,3.99543379,32.41
4.835085941,3.99543379,39.23
4.850312807,3.99543379,47.63
4.705413141,3.99543379,59.12
4.32797612,3.99543379,55.55
3.715210197,3.99543379,51.1
3.114229719,3.99543379,49.26
3.495331234,3.99543379,46.24
3.355918761,3.99543379,45.47
3.330274311,3.99543379,46.24
3.545029771,3.99543379,50.2
3.525948274,3.99543379,53.22
4.912337979,3.99543379,61.82
6,3.99543379,67.36
5.56190577,3.99543379,64.72
